author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
"Wang, Xinyan",https://hdl.handle.net/2027.42/167980,Thesis,Engineering,,2021,en_US,The Gamma Deposition Matrix Method for Coupled Neutron-gamma Reactor Heating Calculations,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168793,Archival Material,,,2021,,"Anthropology-History, Program in","College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168703,Archival Material,,,2021,,"Curriculum Committee, 1993-1996","College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168718,Archival Material,,,2021,,"LSA Welcome Address, 1993","College of Literature, Science and the Arts records and publications",
"Theriault-Kimmey, Emily",https://hdl.handle.net/2027.42/167922,Thesis,Social Sciences,,2021,en_US,Researching a Practice of Teaching Elementary Mathematics Aimed at Disrupting Inequity and Promoting Justice,Dissertations and Theses (Ph.D. and Master's),
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168604,Archival Material,,,2021,,Instructional track casebooks,University Human Resources (University of Michigan) records and publications,
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168654,Archival Material,,,2021,,Casebook,University Human Resources (University of Michigan) records and publications,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168964,Archival Material,,,2021,,"MESA Board, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"Wilson, Leighton",https://hdl.handle.net/2027.42/168120,Thesis,Science,,2021,en_US,Development and Application of Numerical Methods in Biomolecular Solvation,Dissertations and Theses (Ph.D. and Master's),
"Sell, Andrew",https://hdl.handle.net/2027.42/168577,Thesis,,,2021,en_US,Perception of Nature Play in Children’s Gardens:A Survey of Decision Makers from North American Public Gardens,Dissertations and Theses (Ph.D. and Master's),
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169130,Archival Material,,,2021,,"Lambda Theta Alpha Latino Sorority, 2012",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"Palmer family (Pontiac, Mich.)",https://hdl.handle.net/2027.42/168182,Archival Material,,,2021,,"Correspondence (Digital), circa 1872, 1882-1883","Palmer Family (Pontiac, Mich.) papers",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168870,Archival Material,,,2021,,Barger Leadership Institute,"College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168839,Archival Material,,,2021,,Dean's Advisory Council,"College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168898,Archival Material,,,2021,,Dean's Advisory Council,"College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168863,Archival Material,,,2021,,Student Recruitment,"College of Literature, Science and the Arts records and publications",
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168653,Archival Material,,,2021,,Supporting documents,University Human Resources (University of Michigan) records and publications,
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168791,Archival Material,,,2021,,"American Culture, Program in","College of Literature, Science and the Arts records and publications",
