author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
"Reist, Lucas",https://hdl.handle.net/2027.42/169411,Thesis,Other,Ann Arbor,2021-04-01,Other,A Dissection of Lysosomal Membrane Protein Regulation in Saccharomyces cerevisiae,Honors Theses (Bachelor's),No
"Chandler, James",https://hdl.handle.net/2027.42/169377,Thesis,Other,Ann Arbor,2021-04-01,Other,The Effect of the TCJA on Donations to Medical Charities,Honors Theses (Bachelor's),No
"Yang, Xilin",https://hdl.handle.net/2027.42/169428,Thesis,Other,Ann Arbor,2021-04-01,Other,Justice in a Pandemic: An Overview of Revised Primary Goods and Policy Tradeoffs,Honors Theses (Bachelor's),No
"Ho, Jennifer",https://hdl.handle.net/2027.42/169388,Thesis,Other,Ann Arbor,2021-04-01,Other,Cross-cultural Differences in Perceived Responses to Capitalization Attempts and Relationship Satisfaction,Honors Theses (Bachelor's),No
"Jex, Sara",https://hdl.handle.net/2027.42/169391,Thesis,Other,Ann Arbor,2021-04-01,Other,"Going the Social Distance: The COVID-19 Pandemic, Space, and Student Social Connection",Honors Theses (Bachelor's),No
"Ho, Deborah",https://hdl.handle.net/2027.42/169389,Thesis,Other,Ann Arbor,2021-04-01,Other,Developing a Data Analysis Pipeline for Novel Bio-Logging Tools,Honors Theses (Bachelor's),No
"Lutrzykowska, Zuzanna",https://hdl.handle.net/2027.42/169401,Thesis,Other,Ann Arbor,2021-04-01,Other,The Role of Biomedical Enhancements in the Kantian Duty to Self-Perfect,Honors Theses (Bachelor's),No
"Sheridan, Jakob",https://hdl.handle.net/2027.42/169416,Thesis,Other,Ann Arbor,2021-04-01,Other,Physical Origin of Hyperuniformity in Epithelial Tissue,Honors Theses (Bachelor's),No
"Mozina, Madeleine",https://hdl.handle.net/2027.42/169405,Thesis,Other,Ann Arbor,2021-04-01,Other,How Social Enterprises Coordinate Cross-Sectoral Solutions for Informal Settlements: A Case Study of Terra Nova in Brazil,Honors Theses (Bachelor's),No
"Lee, Verity",https://hdl.handle.net/2027.42/169397,Thesis,Other,Ann Arbor,2021-04-01,Other,Behavioral Models of Neural Pleasure Circuitry: Effects of Sex Differences,Honors Theses (Bachelor's),No
"Topor, Madeline",https://hdl.handle.net/2027.42/169419,Thesis,Other,Ann Arbor,2021-04-01,Other,Phosphate Analysis and Evidence for Industry at Iklaina: Implications for Mycenaean Economies and State Formation,Honors Theses (Bachelor's),No
"Wolens, Raquel",https://hdl.handle.net/2027.42/169426,Thesis,Other,Ann Arbor,2021-04-01,Other,Schools Conquering the Challenges of Parental Incarceration on America's Youth,Honors Theses (Bachelor's),No
"Blumin, Daphne",https://hdl.handle.net/2027.42/169409,Thesis,Other,Ann Arbor,2021-04-01,Other,Phase II-Upgrade for ATLAS: Small-diameter Muon Drift Tubes,Honors Theses (Bachelor's),No
"Cho, Sungmin",https://hdl.handle.net/2027.42/169378,Thesis,Other,Ann Arbor,2021-04-01,Other,Youth Involvement and Voting Age: Evidence from South Korea,Honors Theses (Bachelor's),No
"Bondoni, Kailyn",https://hdl.handle.net/2027.42/169420,Thesis,Other,Ann Arbor,2021-04-01,Other,The Inevitable Inevitable,Honors Theses (Bachelor's),No
"Kish, Ryan",https://hdl.handle.net/2027.42/169234,Project,Business and Economics,Ann Arbor,2021-04-01,Other,The Capital Allocation and Agency Problems with Index Funds,"Business, Stephen M. Ross School of - Independent Study Projects",No
"Christianson, Paul",https://hdl.handle.net/2027.42/167345,Project,Other,Other,2021-04-01,en_US,Evaluation and Adaptive Management of the Huron River Watershed Council Natural Areas Assessment and Protection Project,Dissertations and Theses (Ph.D. and Master's),No
